Dataset ID,Quantum State,Method,Expected Fidelity,Observed Fidelity,Expected Error,Observed Error,CI Lower Bound,CI Upper Bound
QST Dataset1,State 5,Maximum Likelihood,0.851,0.864,0.21,0.258,0.776,0.967
QST Dataset1,State 1,Variational Quantum Eigensolver,0.86,0.709,0.291,0.093,0.719,0.766
QST Dataset1,State 2,Quantum Neural Networks,0.944,0.825,0.243,0.293,0.683,0.782
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.714,0.812,0.257,0.249,0.899,0.807
QST Dataset1,State 4,Shadow Tomography,0.907,0.876,0.061,0.155,0.858,0.85
QST Dataset1,State 5,Bayesian Inference,0.898,0.808,0.293,0.077,0.855,0.967
QST Dataset1,State 1,Maximum Likelihood,0.714,0.732,0.216,0.102,0.748,0.961
QST Dataset1,State 2,Variational Quantum Eigensolver,0.857,0.726,0.135,0.229,0.688,0.845
QST Dataset1,State 3,Quantum Neural Networks,0.927,0.73,0.134,0.233,0.844,0.763
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.829,0.701,0.185,0.283,0.758,0.839
QST Dataset1,State 5,Shadow Tomography,0.738,0.919,0.204,0.089,0.782,0.965
QST Dataset1,State 1,Bayesian Inference,0.78,0.895,0.109,0.269,0.929,0.755
QST Dataset1,State 2,Maximum Likelihood,0.878,0.877,0.19,0.245,0.692,0.801
QST Dataset1,State 3,Variational Quantum Eigensolver,0.854,0.845,0.236,0.067,0.791,0.791
QST Dataset1,State 4,Quantum Neural Networks,0.717,0.939,0.242,0.096,0.705,0.83
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.871,0.718,0.057,0.245,0.779,0.821
QST Dataset1,State 1,Shadow Tomography,0.728,0.942,0.089,0.057,0.651,0.802
QST Dataset1,State 2,Bayesian Inference,0.881,0.926,0.231,0.154,0.804,0.941
QST Dataset1,State 3,Maximum Likelihood,0.701,0.812,0.271,0.056,0.791,0.844
QST Dataset1,State 4,Variational Quantum Eigensolver,0.814,0.855,0.105,0.112,0.929,0.91
QST Dataset1,State 5,Quantum Neural Networks,0.87,0.932,0.23,0.072,0.755,0.825
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.825,0.78,0.056,0.128,0.652,0.892
QST Dataset1,State 2,Shadow Tomography,0.869,0.895,0.128,0.274,0.92,0.87
QST Dataset1,State 3,Bayesian Inference,0.788,0.935,0.089,0.196,0.789,0.78
QST Dataset1,State 4,Maximum Likelihood,0.873,0.763,0.229,0.074,0.858,0.969
QST Dataset1,State 5,Variational Quantum Eigensolver,0.718,0.823,0.203,0.15,0.722,0.789
QST Dataset1,State 1,Quantum Neural Networks,0.903,0.857,0.282,0.264,0.902,0.831
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.877,0.938,0.179,0.095,0.657,0.901
QST Dataset1,State 3,Shadow Tomography,0.798,0.948,0.109,0.265,0.856,0.914
QST Dataset1,State 4,Bayesian Inference,0.721,0.731,0.134,0.081,0.881,0.884
QST Dataset1,State 5,Maximum Likelihood,0.711,0.861,0.174,0.236,0.666,0.765
QST Dataset1,State 1,Variational Quantum Eigensolver,0.788,0.785,0.057,0.081,0.879,0.878
QST Dataset1,State 2,Quantum Neural Networks,0.933,0.811,0.21,0.163,0.855,0.87
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.713,0.72,0.176,0.128,0.929,0.922
QST Dataset1,State 4,Shadow Tomography,0.825,0.724,0.127,0.183,0.651,0.949
QST Dataset1,State 5,Bayesian Inference,0.867,0.766,0.24,0.183,0.846,0.93
QST Dataset1,State 1,Maximum Likelihood,0.949,0.902,0.192,0.189,0.818,0.929
QST Dataset1,State 2,Variational Quantum Eigensolver,0.944,0.863,0.052,0.229,0.842,0.91
QST Dataset1,State 3,Quantum Neural Networks,0.828,0.949,0.192,0.124,0.921,0.811
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.728,0.894,0.066,0.173,0.908,0.851
QST Dataset1,State 5,Shadow Tomography,0.778,0.743,0.052,0.191,0.661,0.849
QST Dataset1,State 1,Bayesian Inference,0.888,0.733,0.268,0.3,0.824,0.78
QST Dataset1,State 2,Maximum Likelihood,0.856,0.816,0.187,0.191,0.67,0.865
QST Dataset1,State 3,Variational Quantum Eigensolver,0.856,0.805,0.184,0.246,0.698,0.962
QST Dataset1,State 4,Quantum Neural Networks,0.949,0.751,0.133,0.249,0.686,0.859
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.824,0.924,0.166,0.182,0.824,0.772
QST Dataset1,State 1,Shadow Tomography,0.702,0.765,0.29,0.255,0.731,0.814
QST Dataset1,State 2,Bayesian Inference,0.861,0.932,0.181,0.083,0.669,0.791
QST Dataset1,State 3,Maximum Likelihood,0.932,0.795,0.157,0.099,0.794,0.886
QST Dataset1,State 4,Variational Quantum Eigensolver,0.708,0.934,0.117,0.111,0.714,0.79
QST Dataset1,State 5,Quantum Neural Networks,0.809,0.784,0.171,0.068,0.672,0.84
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.93,0.802,0.148,0.172,0.905,0.889
QST Dataset1,State 2,Shadow Tomography,0.735,0.888,0.101,0.224,0.839,0.813
QST Dataset1,State 3,Bayesian Inference,0.767,0.9,0.12,0.092,0.658,0.757
QST Dataset1,State 4,Maximum Likelihood,0.877,0.743,0.143,0.094,0.714,0.938
QST Dataset1,State 5,Variational Quantum Eigensolver,0.845,0.95,0.262,0.219,0.901,0.768
QST Dataset1,State 1,Quantum Neural Networks,0.704,0.756,0.066,0.205,0.925,0.793
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.723,0.732,0.265,0.26,0.832,0.773
QST Dataset1,State 3,Shadow Tomography,0.908,0.747,0.202,0.152,0.679,0.89
QST Dataset1,State 4,Bayesian Inference,0.939,0.739,0.078,0.137,0.793,0.942
QST Dataset1,State 5,Maximum Likelihood,0.922,0.93,0.101,0.21,0.926,0.899
QST Dataset1,State 1,Variational Quantum Eigensolver,0.724,0.706,0.084,0.279,0.718,0.783
QST Dataset1,State 2,Quantum Neural Networks,0.806,0.938,0.077,0.194,0.767,0.809
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.846,0.943,0.096,0.17,0.843,0.93
QST Dataset1,State 4,Shadow Tomography,0.747,0.771,0.235,0.261,0.692,0.864
QST Dataset1,State 5,Bayesian Inference,0.819,0.811,0.066,0.222,0.87,0.846
QST Dataset1,State 1,Maximum Likelihood,0.785,0.737,0.057,0.187,0.799,0.809
QST Dataset1,State 2,Variational Quantum Eigensolver,0.906,0.883,0.188,0.208,0.752,0.857
QST Dataset1,State 3,Quantum Neural Networks,0.907,0.751,0.256,0.068,0.692,0.963
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.946,0.88,0.133,0.28,0.743,0.799
QST Dataset1,State 5,Shadow Tomography,0.838,0.823,0.194,0.102,0.907,0.958
QST Dataset1,State 1,Bayesian Inference,0.714,0.858,0.201,0.069,0.71,0.831
QST Dataset1,State 2,Maximum Likelihood,0.892,0.854,0.201,0.139,0.653,0.845
QST Dataset1,State 3,Variational Quantum Eigensolver,0.906,0.804,0.125,0.158,0.833,0.9
QST Dataset1,State 4,Quantum Neural Networks,0.769,0.921,0.178,0.25,0.875,0.765
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.739,0.731,0.288,0.25,0.831,0.832
QST Dataset1,State 1,Shadow Tomography,0.873,0.782,0.172,0.19,0.772,0.955
QST Dataset1,State 2,Bayesian Inference,0.738,0.849,0.235,0.209,0.875,0.883
QST Dataset1,State 3,Maximum Likelihood,0.9,0.752,0.125,0.275,0.845,0.959
QST Dataset1,State 4,Variational Quantum Eigensolver,0.732,0.801,0.184,0.254,0.891,0.918
QST Dataset1,State 5,Quantum Neural Networks,0.804,0.857,0.255,0.156,0.79,0.771
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.92,0.71,0.171,0.233,0.684,0.799
QST Dataset1,State 2,Shadow Tomography,0.823,0.898,0.067,0.222,0.73,0.75
QST Dataset1,State 3,Bayesian Inference,0.73,0.711,0.113,0.07,0.653,0.947
QST Dataset1,State 4,Maximum Likelihood,0.865,0.841,0.11,0.246,0.721,0.879
QST Dataset1,State 5,Variational Quantum Eigensolver,0.89,0.912,0.248,0.276,0.692,0.953
QST Dataset1,State 1,Quantum Neural Networks,0.74,0.945,0.237,0.237,0.699,0.804
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.751,0.869,0.202,0.251,0.712,0.928
QST Dataset1,State 3,Shadow Tomography,0.931,0.922,0.287,0.076,0.789,0.924
QST Dataset1,State 4,Bayesian Inference,0.808,0.856,0.213,0.249,0.81,0.909
QST Dataset1,State 5,Maximum Likelihood,0.843,0.78,0.167,0.211,0.842,0.851
QST Dataset1,State 1,Variational Quantum Eigensolver,0.885,0.869,0.134,0.151,0.893,0.869
QST Dataset1,State 2,Quantum Neural Networks,0.704,0.868,0.084,0.117,0.676,0.819
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.7,0.704,0.267,0.149,0.686,0.833
QST Dataset1,State 4,Shadow Tomography,0.729,0.722,0.232,0.154,0.734,0.834
QST Dataset1,State 5,Bayesian Inference,0.735,0.756,0.172,0.055,0.684,0.801
QST Dataset1,State 1,Maximum Likelihood,0.836,0.704,0.266,0.094,0.706,0.897
QST Dataset1,State 2,Variational Quantum Eigensolver,0.859,0.725,0.056,0.093,0.729,0.888
QST Dataset1,State 3,Quantum Neural Networks,0.758,0.827,0.101,0.282,0.855,0.946
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.799,0.797,0.058,0.19,0.772,0.781
QST Dataset1,State 5,Shadow Tomography,0.707,0.795,0.135,0.252,0.856,0.936
QST Dataset1,State 1,Bayesian Inference,0.782,0.776,0.264,0.066,0.857,0.794
QST Dataset1,State 2,Maximum Likelihood,0.823,0.823,0.223,0.233,0.879,0.846
QST Dataset1,State 3,Variational Quantum Eigensolver,0.808,0.835,0.182,0.161,0.713,0.957
QST Dataset1,State 4,Quantum Neural Networks,0.866,0.727,0.248,0.266,0.697,0.801
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.873,0.74,0.186,0.262,0.866,0.815
QST Dataset1,State 1,Shadow Tomography,0.701,0.797,0.108,0.191,0.889,0.928
QST Dataset1,State 2,Bayesian Inference,0.942,0.862,0.094,0.278,0.93,0.772
QST Dataset1,State 3,Maximum Likelihood,0.886,0.899,0.077,0.26,0.681,0.965
QST Dataset1,State 4,Variational Quantum Eigensolver,0.756,0.84,0.289,0.149,0.752,0.764
QST Dataset1,State 5,Quantum Neural Networks,0.839,0.812,0.077,0.112,0.772,0.832
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.813,0.718,0.234,0.065,0.73,0.789
QST Dataset1,State 2,Shadow Tomography,0.922,0.765,0.127,0.272,0.858,0.849
QST Dataset1,State 3,Bayesian Inference,0.933,0.919,0.188,0.122,0.718,0.854
QST Dataset1,State 4,Maximum Likelihood,0.879,0.748,0.105,0.072,0.778,0.923
QST Dataset1,State 5,Variational Quantum Eigensolver,0.717,0.867,0.142,0.285,0.925,0.799
QST Dataset1,State 1,Quantum Neural Networks,0.851,0.823,0.208,0.195,0.736,0.782
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.783,0.922,0.231,0.144,0.696,0.921
QST Dataset1,State 3,Shadow Tomography,0.839,0.707,0.164,0.085,0.651,0.814
QST Dataset1,State 4,Bayesian Inference,0.754,0.917,0.051,0.163,0.914,0.917
QST Dataset1,State 5,Maximum Likelihood,0.884,0.863,0.229,0.253,0.873,0.959
QST Dataset1,State 1,Variational Quantum Eigensolver,0.794,0.907,0.114,0.111,0.783,0.838
QST Dataset1,State 2,Quantum Neural Networks,0.732,0.742,0.294,0.144,0.895,0.815
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.78,0.933,0.256,0.202,0.69,0.912
QST Dataset1,State 4,Shadow Tomography,0.751,0.724,0.097,0.226,0.673,0.939
QST Dataset1,State 5,Bayesian Inference,0.875,0.866,0.135,0.193,0.709,0.96
QST Dataset1,State 1,Maximum Likelihood,0.718,0.768,0.191,0.066,0.927,0.899
QST Dataset1,State 2,Variational Quantum Eigensolver,0.735,0.814,0.227,0.073,0.869,0.801
QST Dataset1,State 3,Quantum Neural Networks,0.912,0.792,0.225,0.215,0.658,0.946
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.818,0.828,0.107,0.281,0.898,0.765
QST Dataset1,State 5,Shadow Tomography,0.798,0.941,0.14,0.131,0.682,0.876
QST Dataset1,State 1,Bayesian Inference,0.842,0.946,0.28,0.24,0.855,0.853
QST Dataset1,State 2,Maximum Likelihood,0.772,0.823,0.142,0.071,0.75,0.761
QST Dataset1,State 3,Variational Quantum Eigensolver,0.883,0.815,0.143,0.206,0.795,0.759
QST Dataset1,State 4,Quantum Neural Networks,0.943,0.752,0.122,0.241,0.774,0.884
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.737,0.906,0.116,0.279,0.855,0.78
QST Dataset1,State 1,Shadow Tomography,0.919,0.913,0.236,0.259,0.752,0.794
QST Dataset1,State 2,Bayesian Inference,0.892,0.906,0.268,0.097,0.67,0.927
QST Dataset1,State 3,Maximum Likelihood,0.818,0.863,0.298,0.054,0.838,0.85
QST Dataset1,State 4,Variational Quantum Eigensolver,0.732,0.943,0.088,0.078,0.667,0.861
QST Dataset1,State 5,Quantum Neural Networks,0.703,0.728,0.211,0.07,0.928,0.838
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.792,0.811,0.227,0.295,0.742,0.778
QST Dataset1,State 2,Shadow Tomography,0.728,0.789,0.226,0.226,0.915,0.882
QST Dataset1,State 3,Bayesian Inference,0.865,0.753,0.211,0.173,0.817,0.969
QST Dataset1,State 4,Maximum Likelihood,0.775,0.755,0.088,0.099,0.834,0.852
QST Dataset1,State 5,Variational Quantum Eigensolver,0.876,0.809,0.261,0.259,0.834,0.765
QST Dataset1,State 1,Quantum Neural Networks,0.918,0.722,0.176,0.055,0.883,0.776
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.891,0.841,0.147,0.054,0.927,0.949
QST Dataset1,State 3,Shadow Tomography,0.725,0.798,0.217,0.156,0.858,0.875
QST Dataset1,State 4,Bayesian Inference,0.768,0.921,0.258,0.051,0.734,0.806
QST Dataset1,State 5,Maximum Likelihood,0.876,0.824,0.051,0.292,0.748,0.937
QST Dataset1,State 1,Variational Quantum Eigensolver,0.715,0.753,0.144,0.135,0.798,0.835
QST Dataset1,State 2,Quantum Neural Networks,0.872,0.771,0.061,0.077,0.927,0.823
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.76,0.816,0.148,0.199,0.903,0.861
QST Dataset1,State 4,Shadow Tomography,0.731,0.906,0.178,0.188,0.841,0.95
QST Dataset1,State 5,Bayesian Inference,0.83,0.702,0.259,0.095,0.699,0.851
QST Dataset1,State 1,Maximum Likelihood,0.93,0.775,0.219,0.08,0.822,0.801
QST Dataset1,State 2,Variational Quantum Eigensolver,0.775,0.803,0.162,0.126,0.848,0.935
QST Dataset1,State 3,Quantum Neural Networks,0.908,0.894,0.072,0.072,0.746,0.796
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.708,0.881,0.177,0.257,0.851,0.788
QST Dataset1,State 5,Shadow Tomography,0.836,0.842,0.185,0.201,0.706,0.853
QST Dataset1,State 1,Bayesian Inference,0.793,0.772,0.116,0.151,0.729,0.95
QST Dataset1,State 2,Maximum Likelihood,0.901,0.763,0.097,0.245,0.697,0.786
QST Dataset1,State 3,Variational Quantum Eigensolver,0.826,0.73,0.189,0.138,0.912,0.861
QST Dataset1,State 4,Quantum Neural Networks,0.734,0.891,0.052,0.074,0.868,0.884
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.807,0.938,0.257,0.182,0.776,0.953
QST Dataset1,State 1,Shadow Tomography,0.722,0.871,0.07,0.213,0.807,0.966
QST Dataset1,State 2,Bayesian Inference,0.776,0.819,0.242,0.298,0.768,0.928
QST Dataset1,State 3,Maximum Likelihood,0.799,0.907,0.27,0.244,0.764,0.911
QST Dataset1,State 4,Variational Quantum Eigensolver,0.819,0.814,0.098,0.159,0.81,0.886
QST Dataset1,State 5,Quantum Neural Networks,0.855,0.904,0.121,0.244,0.731,0.783
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.819,0.854,0.223,0.164,0.67,0.875
QST Dataset1,State 2,Shadow Tomography,0.839,0.742,0.146,0.182,0.921,0.803
QST Dataset1,State 3,Bayesian Inference,0.918,0.914,0.062,0.183,0.748,0.851
QST Dataset1,State 4,Maximum Likelihood,0.792,0.793,0.22,0.154,0.917,0.802
QST Dataset1,State 5,Variational Quantum Eigensolver,0.831,0.868,0.279,0.174,0.675,0.806
QST Dataset1,State 1,Quantum Neural Networks,0.842,0.894,0.093,0.137,0.674,0.843
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.896,0.756,0.218,0.245,0.904,0.864
QST Dataset1,State 3,Shadow Tomography,0.728,0.712,0.156,0.282,0.704,0.968
QST Dataset1,State 4,Bayesian Inference,0.846,0.816,0.244,0.219,0.738,0.825
QST Dataset1,State 5,Maximum Likelihood,0.895,0.929,0.155,0.152,0.891,0.923
QST Dataset1,State 1,Variational Quantum Eigensolver,0.91,0.948,0.096,0.21,0.85,0.937
QST Dataset1,State 2,Quantum Neural Networks,0.946,0.832,0.056,0.104,0.661,0.836
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.768,0.906,0.189,0.062,0.87,0.789
QST Dataset1,State 4,Shadow Tomography,0.877,0.743,0.121,0.241,0.8,0.832
QST Dataset1,State 5,Bayesian Inference,0.738,0.878,0.177,0.288,0.779,0.894
QST Dataset1,State 1,Maximum Likelihood,0.937,0.751,0.08,0.291,0.793,0.901
QST Dataset1,State 2,Variational Quantum Eigensolver,0.851,0.777,0.068,0.147,0.738,0.79
QST Dataset1,State 3,Quantum Neural Networks,0.934,0.92,0.13,0.134,0.872,0.765
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.732,0.802,0.05,0.24,0.713,0.752
QST Dataset1,State 5,Shadow Tomography,0.831,0.797,0.067,0.178,0.741,0.753
QST Dataset1,State 1,Bayesian Inference,0.884,0.933,0.101,0.069,0.737,0.814
QST Dataset1,State 2,Maximum Likelihood,0.862,0.823,0.217,0.086,0.785,0.848
QST Dataset1,State 3,Variational Quantum Eigensolver,0.857,0.799,0.153,0.106,0.801,0.933
QST Dataset1,State 4,Quantum Neural Networks,0.812,0.866,0.268,0.209,0.757,0.921
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.909,0.796,0.123,0.248,0.832,0.924
QST Dataset1,State 1,Shadow Tomography,0.715,0.902,0.223,0.092,0.781,0.812
QST Dataset1,State 2,Bayesian Inference,0.842,0.906,0.213,0.082,0.773,0.939
QST Dataset1,State 3,Maximum Likelihood,0.908,0.793,0.105,0.217,0.911,0.777
QST Dataset1,State 4,Variational Quantum Eigensolver,0.722,0.926,0.3,0.108,0.852,0.755
QST Dataset1,State 5,Quantum Neural Networks,0.903,0.934,0.262,0.202,0.739,0.923
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.926,0.717,0.237,0.179,0.683,0.814
QST Dataset1,State 2,Shadow Tomography,0.752,0.856,0.294,0.231,0.879,0.888
QST Dataset1,State 3,Bayesian Inference,0.817,0.917,0.179,0.289,0.775,0.87
QST Dataset1,State 4,Maximum Likelihood,0.724,0.854,0.26,0.242,0.783,0.894
QST Dataset1,State 5,Variational Quantum Eigensolver,0.781,0.87,0.257,0.169,0.92,0.78
QST Dataset1,State 1,Quantum Neural Networks,0.937,0.92,0.233,0.216,0.766,0.931
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.852,0.905,0.17,0.276,0.789,0.93
QST Dataset1,State 3,Shadow Tomography,0.921,0.804,0.102,0.241,0.87,0.855
QST Dataset1,State 4,Bayesian Inference,0.798,0.7,0.225,0.072,0.845,0.862
QST Dataset1,State 5,Maximum Likelihood,0.791,0.792,0.201,0.075,0.895,0.943
QST Dataset1,State 1,Variational Quantum Eigensolver,0.782,0.887,0.273,0.288,0.853,0.781
QST Dataset1,State 2,Quantum Neural Networks,0.816,0.832,0.243,0.262,0.826,0.788
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.799,0.764,0.161,0.297,0.897,0.92
QST Dataset1,State 4,Shadow Tomography,0.935,0.871,0.273,0.073,0.672,0.965
QST Dataset1,State 5,Bayesian Inference,0.812,0.755,0.194,0.1,0.68,0.936
QST Dataset1,State 1,Maximum Likelihood,0.753,0.728,0.278,0.203,0.783,0.836
QST Dataset1,State 2,Variational Quantum Eigensolver,0.906,0.946,0.113,0.27,0.695,0.866
QST Dataset1,State 3,Quantum Neural Networks,0.777,0.899,0.137,0.143,0.903,0.764
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.808,0.929,0.125,0.082,0.746,0.766
QST Dataset1,State 5,Shadow Tomography,0.758,0.922,0.068,0.195,0.675,0.907
QST Dataset1,State 1,Bayesian Inference,0.808,0.749,0.185,0.128,0.674,0.911
QST Dataset1,State 2,Maximum Likelihood,0.943,0.725,0.276,0.074,0.704,0.827
QST Dataset1,State 3,Variational Quantum Eigensolver,0.746,0.94,0.182,0.186,0.685,0.864
QST Dataset1,State 4,Quantum Neural Networks,0.79,0.94,0.156,0.251,0.927,0.751
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.948,0.922,0.285,0.062,0.925,0.903
QST Dataset1,State 1,Shadow Tomography,0.706,0.847,0.254,0.07,0.706,0.927
QST Dataset1,State 2,Bayesian Inference,0.832,0.913,0.107,0.239,0.896,0.919
QST Dataset1,State 3,Maximum Likelihood,0.751,0.859,0.28,0.248,0.753,0.917
QST Dataset1,State 4,Variational Quantum Eigensolver,0.774,0.891,0.142,0.218,0.694,0.881
QST Dataset1,State 5,Quantum Neural Networks,0.791,0.836,0.24,0.162,0.74,0.808
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.806,0.802,0.269,0.284,0.655,0.954
QST Dataset1,State 2,Shadow Tomography,0.84,0.757,0.204,0.206,0.898,0.826
QST Dataset1,State 3,Bayesian Inference,0.918,0.846,0.226,0.252,0.691,0.82
QST Dataset1,State 4,Maximum Likelihood,0.766,0.887,0.089,0.288,0.884,0.838
QST Dataset1,State 5,Variational Quantum Eigensolver,0.845,0.833,0.155,0.216,0.888,0.811
QST Dataset1,State 1,Quantum Neural Networks,0.81,0.786,0.06,0.241,0.729,0.881
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.869,0.916,0.056,0.151,0.851,0.96
QST Dataset1,State 3,Shadow Tomography,0.781,0.905,0.064,0.209,0.669,0.83
QST Dataset1,State 4,Bayesian Inference,0.831,0.735,0.104,0.071,0.839,0.88
QST Dataset1,State 5,Maximum Likelihood,0.785,0.835,0.295,0.182,0.812,0.822
QST Dataset1,State 1,Variational Quantum Eigensolver,0.758,0.707,0.187,0.285,0.91,0.806
QST Dataset1,State 2,Quantum Neural Networks,0.874,0.723,0.062,0.232,0.68,0.797
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.737,0.907,0.257,0.128,0.702,0.78
QST Dataset1,State 4,Shadow Tomography,0.812,0.719,0.057,0.21,0.875,0.783
QST Dataset1,State 5,Bayesian Inference,0.79,0.813,0.115,0.091,0.674,0.958
QST Dataset1,State 1,Maximum Likelihood,0.913,0.938,0.201,0.29,0.803,0.878
QST Dataset1,State 2,Variational Quantum Eigensolver,0.923,0.812,0.145,0.205,0.822,0.936
QST Dataset1,State 3,Quantum Neural Networks,0.809,0.874,0.265,0.219,0.715,0.752
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.828,0.738,0.112,0.076,0.919,0.952
QST Dataset1,State 5,Shadow Tomography,0.911,0.717,0.121,0.105,0.764,0.914
QST Dataset1,State 1,Bayesian Inference,0.897,0.832,0.062,0.297,0.917,0.823
QST Dataset1,State 2,Maximum Likelihood,0.785,0.764,0.197,0.262,0.811,0.956
QST Dataset1,State 3,Variational Quantum Eigensolver,0.74,0.804,0.193,0.077,0.875,0.795
QST Dataset1,State 4,Quantum Neural Networks,0.823,0.921,0.262,0.295,0.686,0.817
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.731,0.703,0.204,0.28,0.906,0.825
QST Dataset1,State 1,Shadow Tomography,0.703,0.888,0.25,0.093,0.743,0.876
QST Dataset1,State 2,Bayesian Inference,0.866,0.8,0.175,0.17,0.923,0.938
QST Dataset1,State 3,Maximum Likelihood,0.938,0.901,0.103,0.229,0.761,0.948
QST Dataset1,State 4,Variational Quantum Eigensolver,0.865,0.919,0.149,0.28,0.863,0.947
QST Dataset1,State 5,Quantum Neural Networks,0.804,0.931,0.168,0.29,0.735,0.916
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.738,0.913,0.139,0.209,0.786,0.799
QST Dataset1,State 2,Shadow Tomography,0.877,0.75,0.17,0.177,0.741,0.885
QST Dataset1,State 3,Bayesian Inference,0.742,0.743,0.233,0.222,0.785,0.864
QST Dataset1,State 4,Maximum Likelihood,0.721,0.914,0.119,0.15,0.843,0.775
QST Dataset1,State 5,Variational Quantum Eigensolver,0.898,0.757,0.263,0.249,0.685,0.885
QST Dataset1,State 1,Quantum Neural Networks,0.898,0.932,0.216,0.073,0.917,0.753
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.783,0.86,0.205,0.24,0.836,0.795
QST Dataset1,State 3,Shadow Tomography,0.772,0.93,0.206,0.296,0.75,0.96
QST Dataset1,State 4,Bayesian Inference,0.894,0.73,0.06,0.134,0.671,0.852
QST Dataset1,State 5,Maximum Likelihood,0.843,0.809,0.125,0.214,0.739,0.774
QST Dataset1,State 1,Variational Quantum Eigensolver,0.746,0.735,0.294,0.278,0.83,0.878
QST Dataset1,State 2,Quantum Neural Networks,0.929,0.805,0.274,0.293,0.911,0.753
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.712,0.816,0.087,0.244,0.85,0.867
QST Dataset1,State 4,Shadow Tomography,0.727,0.807,0.126,0.271,0.672,0.9
QST Dataset1,State 5,Bayesian Inference,0.742,0.846,0.239,0.117,0.758,0.906
QST Dataset1,State 1,Maximum Likelihood,0.809,0.703,0.073,0.251,0.791,0.778
QST Dataset1,State 2,Variational Quantum Eigensolver,0.808,0.835,0.251,0.299,0.67,0.911
QST Dataset1,State 3,Quantum Neural Networks,0.832,0.779,0.266,0.104,0.77,0.902
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.728,0.814,0.29,0.055,0.897,0.928
QST Dataset1,State 5,Shadow Tomography,0.735,0.884,0.297,0.287,0.894,0.767
QST Dataset1,State 1,Bayesian Inference,0.822,0.818,0.089,0.113,0.761,0.801
QST Dataset1,State 2,Maximum Likelihood,0.828,0.91,0.291,0.08,0.909,0.931
QST Dataset1,State 3,Variational Quantum Eigensolver,0.877,0.863,0.234,0.181,0.67,0.862
QST Dataset1,State 4,Quantum Neural Networks,0.841,0.734,0.193,0.182,0.711,0.784
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.908,0.767,0.143,0.159,0.806,0.777
QST Dataset1,State 1,Shadow Tomography,0.925,0.726,0.098,0.063,0.687,0.782
QST Dataset1,State 2,Bayesian Inference,0.925,0.848,0.281,0.238,0.735,0.904
QST Dataset1,State 3,Maximum Likelihood,0.81,0.764,0.075,0.105,0.806,0.935
QST Dataset1,State 4,Variational Quantum Eigensolver,0.744,0.844,0.151,0.195,0.719,0.777
